Punto,Fecha,Inicio,Fin,Tag
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,27/01/2018,17:55:00,17:57:00,12
8,27/01/2018,17:50:05,17:52:05,12
9,27/01/2018,17:45:05,17:47:05,12
10,27/01/2018,17:41:35,17:43:35,12
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,27/01/2018,19:07:50,19:09:50,12
26,27/01/2018,19:03:30,19:05:30,12
27,27/01/2018,18:48:55,18:50:55,12
28,27/01/2018,18:48:00,18:50:00,12
29,27/01/2018,18:51:50,18:53:50,12
30,27/01/2018,17:59:00,18:01:00,12
31,27/01/2018,18:03:35,18:05:35,12
32,27/01/2018,18:09:50,18:11:50,12
33,27/01/2018,17:38:00,17:40:00,12
34,27/01/2018,17:34:00,17:36:00,12
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,27/01/2018,19:12:35,19:14:35,12
49,27/01/2018,19:20:15,19:22:15,12
50,27/01/2018,19:24:40,19:26:40,12
51,27/01/2018,18:44:00,18:46:00,12
52,27/01/2018,18:40:20,18:42:20,12
53,27/01/2018,18:36:30,18:38:30,12
54,27/01/2018,19:33:30,19:35:30,12
55,27/01/2018,18:13:30,18:15:30,12
56,27/01/2018,18:17:10,18:19:10,12
57,27/01/2018,17:30:15,17:32:15,12
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,18/02/2018,19:29:00,19:31:00,18
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,27/01/2018,18:32:05,18:34:05,12
77,27/01/2018,18:28:05,18:30:05,12
78,27/01/2018,18:24:30,18:26:30,12
79,27/01/2018,18:20:50,18:22:50,12
80,27/01/2018,17:26:30,17:28:30,12
