Punto,X,Y
0,462585.503783397,6111376.505142040
1,462670.923120041,6111428.315518080
2,462756.252329582,6111480.124703290
3,462841.582963404,6111531.822173850
4,462927.005210656,6111583.630101590
5,463012.337329238,6111635.436841110
6,463097.670417660,6111687.242765730
7,463183.096026691,6111738.937345620
8,463268.431054228,6111790.741639590
9,463353.767051577,6111842.545118690
10,463439.195120841,6111894.348150170
11,463524.533058300,6111946.149998700
12,463609.871965540,6111997.951032400
13,463695.303390102,6112049.640716370
14,463780.644236344,6112101.440119600
15,463865.986052340,6112153.238708040
16,463951.328838082,6112205.036481700
17,464036.672593559,6112256.833440610
18,464122.108424980,6112308.629945110
19,464207.454120414,6112360.425273670
20,464292.800785554,6112412.219787520
21,464378.148420392,6112464.013486660
22,464463.497024920,6112515.806371110
23,462637.326336098,6111291.102763330
24,462722.654053543,6111342.912287550
25,462808.073838031,6111394.721370420
26,462893.403495776,6111446.529263840
27,462978.734576142,6111498.225442630
28,463064.157271269,6111550.032077220
29,463149.489838088,6111601.837525000
30,463234.823374757,6111653.642157870
31,463320.248981492,6111705.446344310
32,463405.584905829,6111757.138446920
33,463490.921351457,6111808.940634320
34,463576.349868661,6111860.742372730
35,463661.688254418,6111912.542929590
36,463747.027609969,6111964.342671620
37,463832.367935304,6112016.141598850
38,463917.800334231,6112067.940073710
39,464003.143039740,6112119.626470970
40,464088.486273835,6112171.422953020
41,464173.830477674,6112223.218620320
42,464259.266757120,6112275.013831860
43,464344.612900938,6112326.807868840
44,464429.960014473,6112378.601091120
45,464515.308097716,6112430.393498710
46,462689.056370830,6111205.810610620
47,462774.475118152,6111257.509133090
48,462859.803283808,6111309.317365500
49,462945.223516171,6111361.125155200
50,463030.553622151,6111412.931756840
51,463115.884698020,6111464.737543540
52,463201.308292122,6111516.431985310
53,463286.641307205,6111568.236141340
54,463371.975292152,6111620.039482480
55,463457.401346824,6111671.842375810
56,463542.737271977,6111723.644086350
57,463628.074166964,6111775.444982030
