day,tag,0,0_v1,0
2018-01-10,10,2018-01-10 06:01:51,05:39:50,2018-01-10 05:47:42
2018-01-10,11,2018-01-10 05:48:05,05:39:50,2018-01-10 05:47:31
2018-01-10,14,2018-01-10 08:18:07,07:44:05,2018-01-10 08:18:07
2018-01-10,15,undefined,06:12:55,undefined
2018-01-10,16,undefined,04:38:05,undefined
2018-01-10,17,undefined,08:58:55,undefined
2018-01-10,20,2018-01-10 00:03:55,00:53:35,2018-01-10 07:37:08
2018-01-10,21,2018-01-10 05:01:58,03:57:10,2018-01-10 07:49:40
2018-01-10,22,2018-01-10 06:24:17,06:24:05,2018-01-10 08:43:10
2018-01-10,23,2018-01-10 06:32:18,05:34:50,2018-01-10 05:45:29
2018-01-10,24,2018-01-10 05:32:32,00:06:50,2018-01-10 05:32:20
2018-01-10,26,2018-01-10 07:17:28,07:16:50,2018-01-10 07:17:13
2018-01-10,27,2018-01-10 01:13:59,01:14:15,2018-01-10 08:11:33
2018-01-10,28,2018-01-10 05:32:02,05:27:00,2018-01-10 07:07:02
2018-01-10,29,2018-01-10 07:45:29,06:30:30,2018-01-10 07:36:40
2018-01-10,30,2018-01-10 06:13:19,06:11:05,2018-01-10 06:34:13
2018-01-10,31,2018-01-10 06:31:14,05:51:45,2018-01-10 06:38:56
2018-01-10,32,2018-01-10 05:09:14,04:55:55,2018-01-10 08:00:38
2018-01-10,33,2018-01-10 05:12:57,03:59:10,2018-01-10 05:55:46
2018-01-10,34,2018-01-10 07:45:07,05:30:10,2018-01-10 08:04:57
2018-01-11,10,2018-01-11 05:46:45,05:39:40,2018-01-11 06:04:01
2018-01-11,11,2018-01-11 05:44:42,05:42:45,2018-01-11 05:45:44
2018-01-11,14,2018-01-11 06:05:15,06:05:10,2018-01-11 08:25:59
2018-01-11,17,2018-01-11 01:32:57,05:44:20,2018-01-11 04:38:22
2018-01-11,20,2018-01-11 01:35:46,03:08:00,2018-01-11 01:46:50
2018-01-11,21,2018-01-11 05:20:34,05:06:15,2018-01-11 05:20:44
2018-01-11,22,2018-01-11 05:44:13,05:43:20,2018-01-11 07:11:12
2018-01-11,23,2018-01-11 05:41:24,05:08:40,2018-01-11 05:22:35
2018-01-11,24,2018-01-11 04:58:29,05:31:20,2018-01-11 05:31:34
2018-01-11,25,2018-01-11 06:38:39,06:06:25,2018-01-11 06:18:33
2018-01-11,26,2018-01-11 06:18:39,06:18:15,2018-01-11 06:18:54
2018-01-11,27,2018-01-11 05:40:00,02:11:00,2018-01-11 05:41:25
2018-01-11,28,2018-01-11 07:01:30,05:58:35,2018-01-11 05:40:26
2018-01-11,29,2018-01-11 06:49:54,05:45:55,2018-01-11 08:20:21
2018-01-11,30,2018-01-11 05:53:07,05:52:15,2018-01-11 07:09:34
2018-01-11,31,2018-01-11 06:36:40,06:24:15,2018-01-11 06:36:40
2018-01-11,32,2018-01-11 05:31:10,05:13:30,2018-01-11 08:19:47
2018-01-11,33,2018-01-11 00:45:46,05:28:20,2018-01-11 05:28:42
2018-01-11,34,2018-01-11 06:42:30,05:33:40,2018-01-11 08:18:28
2018-01-12,10,2018-01-12 06:49:07,06:01:45,2018-01-12 06:43:06
2018-01-12,11,2018-01-12 06:00:11,05:52:25,2018-01-12 06:24:10
2018-01-12,14,2018-01-12 07:09:18,05:50:35,2018-01-12 06:20:38
2018-01-12,15,undefined,05:51:35,undefined
2018-01-12,17,2018-01-12 06:09:22,06:07:10,2018-01-12 07:27:52
2018-01-12,20,2018-01-12 05:42:02,05:28:25,2018-01-12 08:27:59
2018-01-12,21,2018-01-12 05:17:07,02:34:00,2018-01-12 05:32:59
2018-01-12,22,2018-01-12 08:27:09,05:15:25,2018-01-12 05:16:49
2018-01-12,23,2018-01-12 06:14:47,06:01:55,2018-01-12 06:15:12
2018-01-12,24,2018-01-12 05:31:06,05:57:40,2018-01-12 05:57:19
2018-01-12,25,undefined,07:11:00,undefined
2018-01-12,26,2018-01-12 07:10:55,06:30:55,2018-01-12 06:32:04
2018-01-12,27,2018-01-12 03:36:50,00:01:40,2018-01-12 02:21:09
2018-01-12,28,2018-01-12 06:07:19,05:20:45,2018-01-12 02:40:54
2018-01-12,29,2018-01-12 07:22:05,05:13:30,2018-01-12 07:35:44
2018-01-12,30,undefined,07:09:10,undefined
2018-01-12,31,2018-01-12 08:56:25,08:38:10,2018-01-12 08:56:07
2018-01-12,32,2018-01-12 06:25:42,08:43:55,2018-01-12 08:52:42
2018-01-12,33,2018-01-12 00:45:38,03:02:10,2018-01-12 02:59:59
2018-01-12,34,2018-01-12 07:22:11,07:17:40,2018-01-12 07:36:23
2018-01-13,10,2018-01-13 06:30:29,04:13:10,2018-01-13 06:30:05
2018-01-13,14,2018-01-13 06:01:58,06:01:25,2018-01-13 06:42:14
2018-01-13,17,2018-01-13 05:42:35,05:22:55,2018-01-13 05:52:38
2018-01-13,20,2018-01-13 01:24:05,01:40:05,2018-01-13 01:42:45
2018-01-13,21,2018-01-13 02:24:57,05:03:00,2018-01-13 02:21:57
2018-01-13,22,2018-01-13 05:43:51,05:18:20,2018-01-13 05:44:11
2018-01-13,23,2018-01-13 05:24:27,05:23:05,2018-01-13 05:39:13
2018-01-13,24,2018-01-13 05:50:54,05:37:50,2018-01-13 05:47:39
2018-01-13,25,undefined,07:10:05,undefined
2018-01-13,26,2018-01-13 07:55:14,07:08:50,2018-01-13 07:31:55
2018-01-13,27,2018-01-13 05:28:45,05:27:50,2018-01-13 07:59:37
2018-01-13,28,2018-01-13 06:17:32,06:02:30,2018-01-13 06:12:28
2018-01-13,29,2018-01-13 05:10:11,05:43:55,2018-01-13 08:23:16
2018-01-13,30,2018-01-13 06:44:26,06:00:40,2018-01-13 07:40:59
2018-01-13,31,2018-01-13 07:06:47,06:39:05,2018-01-13 07:08:58
2018-01-13,32,2018-01-13 06:28:19,05:46:10,2018-01-13 07:59:32
2018-01-13,33,2018-01-13 05:45:32,05:46:10,2018-01-13 05:16:21
2018-01-13,34,2018-01-13 08:27:58,08:20:00,2018-01-13 08:34:58
2018-01-14,14,2018-01-14 04:46:59,05:54:25,2018-01-14 04:44:10
2018-01-14,17,2018-01-14 01:22:46,05:03:35,2018-01-14 06:06:53
2018-01-14,20,2018-01-14 01:37:13,00:01:15,2018-01-14 05:25:16
2018-01-14,21,2018-01-14 02:43:01,02:30:50,2018-01-14 02:57:35
2018-01-14,22,2018-01-14 04:37:53,00:30:30,2018-01-14 07:02:45
2018-01-14,23,2018-01-14 01:56:18,05:14:20,2018-01-14 06:27:10
2018-01-14,24,2018-01-14 05:51:50,01:49:20,2018-01-14 06:06:19
2018-01-14,25,2018-01-14 08:55:22,08:26:50,2018-01-14 08:55:14
2018-01-14,26,2018-01-14 08:55:50,07:40:05,2018-01-14 08:45:46
2018-01-14,27,2018-01-14 02:29:10,05:58:35,2018-01-14 05:15:21
2018-01-14,29,2018-01-14 00:12:32,00:05:20,2018-01-14 03:52:25
2018-01-14,31,undefined,05:24:40,undefined
2018-01-14,32,2018-01-14 06:26:47,06:18:20,2018-01-14 06:56:46
2018-01-14,33,2018-01-14 06:21:36,06:27:35,2018-01-14 06:20:07
