,10,14,21,22,23,25,27,29,31,32
11,6473,6648,6769,6574,6590,6500,6682,6617,6867,6952
17,6772,6893,6989,6827,6847,6745,6942,6880,7000,7080
20,6924,6979,6919,6960,6968,6908,7027,7003,7148,7150
24,6930,7004,7091,6948,6899,6918,7034,7012,7087,7168
26,6515,6657,6762,6557,6580,6462,6729,6626,6890,6918
28,6562,6671,6793,6609,6616,6532,6728,6648,6891,6939
30,6865,6968,7059,6921,6908,6852,6978,6949,7042,7183
33,6999,7052,7131,7003,7014,6959,7114,7042,7210,7003
34,6619,6727,6870,6675,6670,6609,6760,6593,6961,6998
