,10,14,21,22,23,25,27,29,31,32
11,4549,18822,25624,12021,9112,6374,19596,20242,22386,39976
17,29272,39911,45419,34082,32296,29763,40572,40971,41897,57120
20,46869,54900,50792,50870,49068,47540,55472,56671,58642,69051
24,35413,44256,51087,39835,34329,35944,45035,46104,46000,60497
26,11156,23669,29842,16210,13982,9051,25015,25111,27739,43107
28,10559,22570,29647,16543,14021,11367,24169,24044,26806,44124
30,23389,34446,41562,28701,26043,23567,35662,36513,33662,53934
33,45645,54527,58666,49365,46992,45563,55578,55487,57388,53318
34,21299,31871,38580,26783,23532,21722,32196,24699,37336,51257
