date,date_index,group
2018-01-10 07:00:00,0,"[24, 28]"
2018-01-10 07:03:00,2,"[24, 28]"
2018-01-10 07:05:30,3,"[20, 28, 24, 21, 14, 33, 32]"
2018-01-10 07:06:00,4,"[20, 28, 24, 21, 14, 33, 32]"
2018-01-10 07:08:30,5,"[24, 28, 14, 33, 32]"
2018-01-10 07:09:00,6,"[28, 22]"
2018-01-10 07:09:00,6,"[33, 32]"
2018-01-10 07:11:30,7,"[28, 33, 32]"
2018-01-10 07:12:00,8,"[24, 28, 32]"
2018-01-10 07:14:30,9,"[20, 28, 24, 21, 33, 32]"
2018-01-10 07:15:00,10,"[20, 28, 21, 33]"
2018-01-10 07:17:30,11,"[20, 28, 26, 24, 22, 21, 33, 32]"
2018-01-10 07:18:00,12,"[24, 28, 22, 14, 33, 32]"
2018-01-10 07:20:30,13,"[20, 24, 22, 21, 33, 32]"
2018-01-10 07:21:00,14,"[20, 29, 24, 23, 21, 14, 34, 33]"
2018-01-10 07:23:30,15,"[20, 29, 24, 23, 21, 14, 34, 33, 32]"
2018-01-10 07:24:00,16,"[20, 24, 23, 22, 21]"
2018-01-10 07:24:00,16,"[33, 29, 34, 32]"
2018-01-10 07:26:30,17,"[20, 29, 24, 33, 32]"
2018-01-10 07:27:00,18,"[20, 24, 21, 14, 33, 32]"
2018-01-10 07:29:30,19,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 07:30:00,20,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 07:32:30,21,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 07:33:00,22,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 07:35:30,23,"[20, 29, 24, 14, 34, 33, 32]"
2018-01-10 07:36:00,24,"[20, 29, 24, 22, 21, 34]"
2018-01-10 07:38:30,25,"[20, 24, 22, 14, 34]"
2018-01-10 07:39:00,26,"[20, 24]"
2018-01-10 07:39:00,26,"[34, 29]"
2018-01-10 07:39:00,26,"[14, 22]"
2018-01-10 07:41:30,27,"[24, 29, 22, 14, 34, 33]"
2018-01-10 07:42:00,28,"[24, 14]"
2018-01-10 07:42:00,28,"[34, 29]"
2018-01-10 07:44:30,29,"[24, 23, 29, 34]"
2018-01-10 07:44:30,29,"[14, 22]"
2018-01-10 07:45:00,30,"[24, 29, 27, 23, 22, 14, 34]"
2018-01-10 07:47:30,31,"[24, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 07:48:00,32,"[20, 24, 23, 14, 33, 32]"
2018-01-10 07:48:00,32,"[34, 29, 27]"
2018-01-10 07:50:30,33,"[20, 29, 27, 24, 21, 33, 32]"
2018-01-10 07:51:00,34,"[20, 24, 33, 32]"
2018-01-10 07:51:00,34,"[34, 29, 27]"
2018-01-10 07:51:00,34,"[14, 22]"
2018-01-10 07:53:30,35,"[20, 29, 27, 24, 23, 21, 34, 33, 32]"
2018-01-10 07:53:30,35,"[14, 22]"
2018-01-10 07:54:00,36,"[20, 29, 27, 24, 23, 22, 21, 14, 34, 33, 32]"
2018-01-10 07:56:30,37,"[20, 29, 27, 24, 23, 21, 14, 33, 32]"
2018-01-10 07:57:00,38,"[20, 29, 27, 24, 21, 14, 34, 33, 32]"
2018-01-10 07:59:30,39,"[20, 21]"
2018-01-10 07:59:30,39,"[24, 29, 27]"
2018-01-10 07:59:30,39,"[33, 14, 32]"
2018-01-10 08:00:00,40,"[20, 29, 27, 24, 21, 14, 34, 33, 32]"
2018-01-10 08:02:30,41,"[20, 29, 27, 24, 21, 33, 32]"
2018-01-10 08:03:00,42,"[20, 29, 27, 24, 21, 34, 32]"
2018-01-10 08:05:30,43,"[20, 21]"
2018-01-10 08:05:30,43,"[24, 29, 27, 14, 34, 32]"
2018-01-10 08:06:00,44,"[20, 31, 21, 24]"
2018-01-10 08:06:00,44,"[34, 14, 29]"
2018-01-10 08:08:30,45,"[20, 21, 24]"
2018-01-10 08:08:30,45,"[33, 27]"
2018-01-10 08:08:30,45,"[34, 14, 29]"
2018-01-10 08:09:00,46,"[20, 21, 24]"
2018-01-10 08:09:00,46,"[33, 27, 32]"
2018-01-10 08:09:00,46,"[34, 14, 29]"
2018-01-10 08:11:30,47,"[20, 27, 24, 21, 33, 32]"
2018-01-10 08:11:30,47,"[26, 14]"
2018-01-10 08:12:00,48,"[20, 27, 24, 21, 33, 32]"
2018-01-10 08:14:30,49,"[20, 29, 27, 24, 23, 21, 14, 34, 33, 32]"
2018-01-10 08:15:00,50,"[20, 21]"
2018-01-10 08:15:00,50,"[24, 33, 27, 32]"
2018-01-10 08:15:00,50,"[34, 14, 29]"
2018-01-10 08:17:30,51,"[20, 27, 21, 33, 32]"
2018-01-10 08:17:30,51,"[34, 14, 29]"
2018-01-10 08:18:00,52,"[20, 27, 21, 14, 33, 32]"
2018-01-10 08:20:30,53,"[20, 21]"
2018-01-10 08:20:30,53,"[33, 27, 32]"
2018-01-10 08:21:00,54,"[20, 14, 21, 27]"
2018-01-10 08:23:30,55,"[20, 24]"
2018-01-10 08:23:30,55,"[14, 27]"
2018-01-10 08:24:00,56,"[20, 27, 24, 21, 33, 32]"
2018-01-10 08:26:30,57,"[20, 27, 24]"
2018-01-10 08:27:00,58,"[20, 27, 10, 24]"
2018-01-10 08:29:30,59,"[20, 21, 24]"
2018-01-10 08:29:30,59,"[14, 27]"
2018-01-10 08:30:00,60,"[14, 27]"
2018-01-10 08:32:30,61,"[33, 32]"
2018-01-10 08:33:00,62,"[14, 27]"
2018-01-10 08:35:30,63,"[20, 21]"
2018-01-10 08:36:00,64,"[20, 21]"
2018-01-10 08:39:00,66,"[24, 27, 22, 14, 33, 32]"
2018-01-10 08:41:30,67,"[24, 27, 22, 33, 32]"
2018-01-10 08:42:00,68,"[20, 27, 22, 21, 14, 33, 32]"
2018-01-10 08:44:30,69,"[20, 21, 33, 32]"
2018-01-10 08:44:30,69,"[14, 22, 27]"
2018-01-10 08:45:00,70,"[33, 27, 22, 14, 32]"
2018-01-10 08:47:30,71,"[33, 27, 22, 14, 32]"
2018-01-10 08:48:00,72,"[33, 32]"
2018-01-10 08:50:30,73,"[33, 32]"
2018-01-10 08:51:00,74,"[33, 32]"
2018-01-10 08:53:30,75,"[33, 32]"
2018-01-10 08:54:00,76,"[33, 32]"
2018-01-10 08:56:30,77,"[33, 32]"
2018-01-10 08:57:00,78,"[17, 27]"
2018-01-10 08:57:00,78,"[33, 32]"
2018-01-10 08:59:30,79,"[17, 27]"
2018-01-10 08:59:30,79,"[20, 24]"
2018-01-10 09:02:30,81,"[17, 27]"
2018-01-10 09:02:30,81,"[24, 33, 32]"
2018-01-10 09:03:00,82,"[24, 29, 14, 33, 32]"
2018-01-10 09:05:30,83,"[33, 14, 22, 32]"
2018-01-10 09:06:00,84,"[33, 29, 32]"
2018-01-10 09:08:30,85,"[33, 29, 34, 32]"
2018-01-10 09:09:00,86,"[33, 29, 34, 32]"
2018-01-10 09:11:30,87,"[20, 29, 21, 14, 34, 33, 32]"
2018-01-10 09:12:00,88,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 09:14:30,89,"[20, 14, 21, 24]"
2018-01-10 09:14:30,89,"[33, 29, 34, 32]"
2018-01-10 09:15:00,90,"[20, 29, 24, 22, 21, 14, 34, 33, 32]"
2018-01-10 09:17:30,91,"[17, 29, 27, 24, 21, 20, 34, 33, 32]"
2018-01-10 09:18:00,92,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 09:20:30,93,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 09:21:00,94,"[20, 29, 27, 24, 21, 34]"
2018-01-10 09:23:30,95,"[20, 27, 24, 21, 14, 33, 32]"
2018-01-10 09:23:30,95,"[34, 29]"
2018-01-10 09:24:00,96,"[20, 29, 21, 14, 34, 33, 32]"
2018-01-10 09:26:30,97,"[20, 21, 32]"
2018-01-10 09:26:30,97,"[33, 29, 34]"
2018-01-10 09:27:00,98,"[20, 29, 21, 34, 33, 32]"
2018-01-10 09:29:30,99,"[20, 21, 33, 24]"
2018-01-10 09:30:00,100,"[20, 21]"
2018-01-10 09:30:00,100,"[24, 33]"
2018-01-10 09:32:30,101,"[20, 21]"
2018-01-10 09:33:00,102,"[20, 21, 33, 24]"
2018-01-10 09:35:30,103,"[20, 21, 33, 24]"
2018-01-10 09:36:00,104,"[20, 21]"
2018-01-10 09:36:00,104,"[24, 33]"
2018-01-10 09:38:30,105,"[20, 21]"
2018-01-10 09:38:30,105,"[33, 32]"
2018-01-10 09:39:00,106,"[20, 21, 33, 32]"
2018-01-10 09:41:30,107,"[20, 27]"
2018-01-10 09:41:30,107,"[24, 33, 32]"
2018-01-10 09:42:00,108,"[24, 10, 32]"
2018-01-10 09:44:30,109,"[11, 24, 10, 33, 32]"
2018-01-10 09:45:00,110,"[33, 32]"
2018-01-10 09:47:30,111,"[20, 33, 32]"
2018-01-10 09:48:00,112,"[24, 33, 32]"
2018-01-10 09:50:30,113,"[20, 27]"
2018-01-10 09:50:30,113,"[24, 32]"
2018-01-10 09:51:00,114,"[20, 27]"
2018-01-10 09:51:00,114,"[24, 33]"
2018-01-10 09:53:30,115,"[20, 24]"
2018-01-10 09:53:30,115,"[33, 32]"
