date,date_index,group
2018-01-10 07:00:00,0,"[24, 28]"
2018-01-10 07:01:00,2,"[24, 28]"
2018-01-10 07:04:00,8,"[24, 28]"
2018-01-10 07:05:00,10,"[24, 21, 28]"
2018-01-10 07:05:00,10,"[33, 32]"
2018-01-10 07:06:30,11,"[20, 28, 24, 21, 14, 33, 32]"
2018-01-10 07:06:00,12,"[20, 14, 21]"
2018-01-10 07:06:00,12,"[33, 32]"
2018-01-10 07:07:30,13,"[20, 33]"
2018-01-10 07:07:00,14,"[24, 28, 14, 33, 32]"
2018-01-10 07:08:30,15,"[33, 14, 32]"
2018-01-10 07:08:00,16,"[24, 28]"
2018-01-10 07:08:00,16,"[33, 32]"
2018-01-10 07:09:30,17,"[33, 32]"
2018-01-10 07:09:00,18,"[33, 32]"
2018-01-10 07:10:30,19,"[33, 32]"
2018-01-10 07:10:00,20,"[33, 32]"
2018-01-10 07:11:30,21,"[33, 32]"
2018-01-10 07:11:00,22,"[33, 32]"
2018-01-10 07:12:30,23,"[28, 33, 32]"
2018-01-10 07:12:00,24,"[24, 28]"
2018-01-10 07:13:30,25,"[28, 32]"
2018-01-10 07:13:00,26,"[24, 28]"
2018-01-10 07:14:30,27,"[20, 28, 24, 33, 32]"
2018-01-10 07:14:00,28,"[20, 28, 24, 21, 32]"
2018-01-10 07:15:30,29,"[28, 32]"
2018-01-10 07:15:00,30,"[20, 21]"
2018-01-10 07:15:00,30,"[28, 33]"
2018-01-10 07:16:30,31,"[20, 33]"
2018-01-10 07:17:30,33,"[24, 26]"
2018-01-10 07:17:00,34,"[20, 26, 21, 33, 32]"
2018-01-10 07:18:30,35,"[20, 33, 32]"
2018-01-10 07:18:30,35,"[26, 28]"
2018-01-10 07:18:00,36,"[24, 28, 22, 33, 32]"
2018-01-10 07:19:30,37,"[24, 22, 32, 33]"
2018-01-10 07:19:00,38,"[24, 33, 32]"
2018-01-10 07:19:00,38,"[14, 22]"
2018-01-10 07:20:30,39,"[24, 33, 22, 32]"
2018-01-10 07:20:00,40,"[21, 22]"
2018-01-10 07:21:30,41,"[20, 24, 22, 21, 32]"
2018-01-10 07:21:00,42,"[20, 21, 33]"
2018-01-10 07:22:30,43,"[20, 21, 33, 24]"
2018-01-10 07:22:00,44,"[20, 29, 24, 23, 14, 34, 33]"
2018-01-10 07:23:30,45,"[20, 23, 21, 24]"
2018-01-10 07:23:30,45,"[34, 29]"
2018-01-10 07:23:00,46,"[20, 29, 24, 23, 21, 14, 34, 33, 32]"
2018-01-10 07:24:30,47,"[20, 24, 21, 14, 34]"
2018-01-10 07:24:00,48,"[20, 23, 22, 24]"
2018-01-10 07:25:30,49,"[20, 22, 21, 24]"
2018-01-10 07:25:30,49,"[33, 34, 32]"
2018-01-10 07:25:00,50,"[20, 22, 24]"
2018-01-10 07:26:30,51,"[20, 29, 24, 33, 32]"
2018-01-10 07:26:00,52,"[20, 29, 24, 33, 32]"
2018-01-10 07:27:30,53,"[20, 29, 24]"
2018-01-10 07:27:30,53,"[33, 32]"
2018-01-10 07:27:00,54,"[20, 24, 21, 33, 32]"
2018-01-10 07:28:30,55,"[20, 14, 21]"
2018-01-10 07:28:30,55,"[24, 33, 32]"
2018-01-10 07:28:00,56,"[20, 24, 21, 33, 32]"
2018-01-10 07:29:30,57,"[20, 24, 21, 33, 32]"
2018-01-10 07:29:00,58,"[20, 24, 21, 14, 33, 32]"
2018-01-10 07:30:30,59,"[20, 29, 24, 34, 33, 32]"
2018-01-10 07:30:30,59,"[14, 21]"
